2026-02-01 00:01:47 | WARN | api | Slow response detected (1208ms) endpoint=/payments/refund (env=prod, region=eu-west-1, ip=64.227.100.165, request_id=1brwzyofn4icfk4g, trace_id=06fij5dng9nlvl1ntxq7eitl, ua="curl/8.4.0")
2026-02-01 00:29:08 | WARN | api | Elevated error rate observed window_s=120 rate=2.7% (env=prod, region=eu-west-1, ip=146.239.90.79, request_id=kfp0sksxnoip8y7y, trace_id=n2p8u0krppbrzfsow2ip1thv, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:29:20 | WARN | api | Slow response detected (3008ms) endpoint=/notifications/push (env=prod, region=me-south-1, ip=119.105.45.205, request_id=9aqd8fzaxtqlo3bf, trace_id=uopd2vbwlb783pc3ht5x2qbl, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:30:01 | WARN | api | High memory usage warning mem=79% (env=prod, region=eu-west-1, ip=241.35.6.211, request_id=awntkwmrt5md5kkx, trace_id=4vwue5x1sgz850wcamdgwef7, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:32:21 | WARN | api | Rate limit nearing threshold remaining=24 (env=prod, region=me-south-1, ip=127.99.159.238, request_id=guyszwu0yyl6bhty, trace_id=kryvz9i42ly9ngssad509buk, ua="PostmanRuntime/7.36.0")
2026-02-01 00:32:36 | WARN | api | Payment provider latency high (134ms) (env=prod, region=eu-west-1, ip=75.76.113.236, request_id=3fxffnm0uf3v2hmz, trace_id=3k5csznxzrr4ol25jqa4nvqf, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:35:50 | WARN | api | Disk usage above 80% disk=89% (env=staging, region=eu-west-1, ip=131.12.245.107, request_id=g5kw2ztb0xtw2saf, trace_id=tiam78xyyif4d948zdowipsr, ua="curl/8.4.0")
2026-02-01 00:39:58 | WARN | api | Elevated error rate observed window_s=120 rate=1.9% (env=staging, region=us-east-1, ip=10.224.15.131, request_id=uwx4viwqqasqsg6r, trace_id=293ad42u7zc08zut9p3eyr2b, ua="curl/8.4.0")
2026-02-01 00:43:38 | WARN | api | Slow response detected (770ms) endpoint=/files/4025 (env=staging, region=eu-west-1, ip=171.47.68.233, request_id=7vsunkyydwodyvyd, trace_id=4lo844pjbg0ttapqflppoi7o, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:48:11 | WARN | api | Elevated error rate observed window_s=300 rate=4.8% (env=prod, region=eu-west-1, ip=201.15.207.26, request_id=tqmmhaswbmttuyi3, trace_id=aoiju6d0tktv77l6h8j4amt5, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:48:16 | WARN | api | Elevated error rate observed window_s=300 rate=7.8% (env=prod, region=eu-west-1, ip=85.65.53.178, request_id=hhdyf0a18gey7k4a, trace_id=xteu6tow5owtdge7qu5fbdv5, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:49:45 | WARN | api | Circuit breaker half-open dependency=payments-api (env=prod, region=us-east-1, ip=10.88.243.179, request_id=11c8l4d0na2obxr7, trace_id=4ws3n0242uiwrkhvdhx4tbpu, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:51:39 | WARN | api | Rate limit nearing threshold remaining=34 (env=prod, region=eu-west-1, ip=245.216.206.40, request_id=4mgr3awtpnxsml6m, trace_id=ok2j2gv93oyi4ly5j1y3i8m5, ua="curl/8.4.0")
2026-02-01 00:52:02 | WARN | api | Rate limit nearing threshold remaining=7 (env=dev, region=eu-west-1, ip=30.214.87.13, request_id=d5abfq929n9ber35, trace_id=ijuqom60n5szcmhf4jeipl1e, ua="PostmanRuntime/7.36.0")
2026-02-01 00:53:03 | WARN | api | Retrying request to upstream service attempt=2 (env=staging, region=us-east-1, ip=230.199.45.42, request_id=bygy2b41p9yr5axa, trace_id=qzq6e26g4ivweqwz7n2at7i7, ua="PostmanRuntime/7.36.0")
2026-02-01 00:53:38 | WARN | api | Rate limit nearing threshold remaining=17 (env=prod, region=me-south-1, ip=73.235.159.154, request_id=tdges0p7bc2w7a03, trace_id=3kwy6oceh3xe9ug8msxz32vz, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:55:48 | WARN | api | Elevated error rate observed window_s=120 rate=5.3% (env=prod, region=me-south-1, ip=109.45.41.42, request_id=imyjjgd43yavuuky, trace_id=1d70lfv899dle5z5yljourb3, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:56:13 | WARN | api | Queue backlog growing size=8244 (env=prod, region=eu-west-1, ip=137.243.122.48, request_id=n5ktk5w6dk7kziyu, trace_id=r5cceb5oc0p0to3yc8vyj9ea, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 01:00:25 | WARN | api | Queue backlog growing size=4825 (env=prod, region=us-east-1, ip=184.156.103.130, request_id=ikutwbvwthttf0q0, trace_id=o15s0yxb1rfguvjz0sxaa233, ua="PostmanRuntime/7.36.0")
2026-02-01 01:00:58 | WARN | api | Temporary network jitter detected rtt_ms=700 (env=prod, region=ap-southeast-1, ip=205.220.11.6, request_id=3ctbm5z9j579m3ja, trace_id=1srt4n5yh23uklubzs96w2pk, ua="PostmanRuntime/7.36.0")
2026-02-01 01:04:55 | WARN | api | Queue backlog growing size=705 (env=prod, region=eu-west-1, ip=20.157.211.239, request_id=4svogpimn7308sh7, trace_id=qdae0i6bui92svogn2l5qnrz, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:05:25 | WARN | api | Rate limit nearing threshold remaining=28 (env=prod, region=eu-west-1, ip=56.228.88.21, request_id=180qw12q9siaktdc, trace_id=pho818zeuugf3o8tefmtwejv, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 01:07:04 | WARN | api | Rate limit nearing threshold remaining=7 (env=prod, region=eu-west-1, ip=6.102.215.30, request_id=hn3l0pja75qv4kzj, trace_id=xz8u69kpw0t8xixd1f0cz5jz, ua="curl/8.4.0")
2026-02-01 01:09:36 | WARN | api | Elevated error rate observed window_s=60 rate=6.3% (env=prod, region=eu-west-1, ip=84.209.106.61, request_id=sb80hvubgy6acccc, trace_id=xuyqg9u8rgdqvof0ltplpw4c, ua="curl/8.4.0")
2026-02-01 01:11:38 | WARN | api | Circuit breaker half-open dependency=cdn-edge (env=staging, region=eu-west-1, ip=228.111.175.85, request_id=6qpus0b640zictru, trace_id=46vw0fjmhs83f88uvkjb7huy, ua="curl/8.4.0")
2026-02-01 01:12:26 | WARN | api | Elevated error rate observed window_s=60 rate=2.7% (env=staging, region=eu-west-1, ip=235.107.34.109, request_id=gz44pvuaelaxsddt, trace_id=jqmj8193je1an5moovxl4og3, ua="curl/8.4.0")
2026-02-01 01:13:41 | WARN | api | Queue backlog growing size=7359 (env=prod, region=ap-southeast-1, ip=215.123.168.253, request_id=3wo5gxkww0fq0yss, trace_id=lksxy2l24kt8yxl121g8hjfz, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 01:13:46 | WARN | api | Rate limit nearing threshold remaining=50 (env=prod, region=me-south-1, ip=170.121.204.49, request_id=ymdvm3lv62e6g9nz, trace_id=mjnlb6ftzmzxkefmpfab8r3v, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 01:15:07 | WARN | api | Circuit breaker half-open dependency=cdn-edge (env=prod, region=me-south-1, ip=212.209.39.195, request_id=90yh4ae54spkvcbs, trace_id=end5rxqlvnvc0r0s7r7dmdjj, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 01:16:24 | WARN | api | Circuit breaker half-open dependency=kms (env=staging, region=eu-west-1, ip=71.140.52.87, request_id=8847avcldd5u9rp9, trace_id=bej4l2tmpwbepn2a5xhk69y6, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:16:29 | WARN | api | Rate limit nearing threshold remaining=8 (env=prod, region=ap-southeast-1, ip=118.218.158.52, request_id=o52rbs7vmz88oyzy, trace_id=h6c8978sdxjzv4pafa0hxovx, ua="curl/8.4.0")
2026-02-01 01:17:11 | WARN | api | Disk usage above 80% disk=98% (env=prod, region=us-east-1, ip=92.17.179.84, request_id=t92414nqonxv1l48, trace_id=u1b7jjqk2vkc4i4mcy6nc5da, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 01:17:48 | WARN | api | Slow response detected (1695ms) endpoint=/admin/config (env=prod, region=me-south-1, ip=110.181.68.182, request_id=2p3wzpy9g5rzoow7, trace_id=w32yrfe91tftvfv031mj5jfj, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:18:13 | WARN | api | Queue backlog growing size=2438 (env=prod, region=me-south-1, ip=86.26.117.161, request_id=ozbhh0s9kyzqox78, trace_id=tt1eml414susqjwgqq5cc4lc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 01:19:05 | WARN | api | Rate limit nearing threshold remaining=1 (env=prod, region=ap-southeast-1, ip=132.30.189.91, request_id=nah3s5mefsnw2fwf, trace_id=jle95q6s8q53tduvjxrctwf9, ua="PostmanRuntime/7.36.0")
2026-02-01 01:21:19 | WARN | api | Payment provider latency high (1489ms) (env=prod, region=ap-southeast-1, ip=226.172.46.60, request_id=fx9z9hvbpkxl5yim, trace_id=ur61nv902h36haddzag2wyhl, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 01:23:54 | WARN | api | Temporary network jitter detected rtt_ms=870 (env=prod, region=eu-west-1, ip=126.199.63.235, request_id=qclqwv3lpfsg58tt, trace_id=6i4k3m8v9dx9ufe4jvl8md2d, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 01:25:00 | WARN | api | Slow response detected (398ms) endpoint=/search?q=charger (env=prod, region=eu-west-1, ip=96.244.12.207, request_id=ochb36kc40fxfq43, trace_id=wmdivx6mrcvt6dfr5vfjfgzm, ua="PostmanRuntime/7.36.0")
2026-02-01 01:28:14 | WARN | api | Disk usage above 80% disk=99% (env=staging, region=us-east-1, ip=35.180.118.211, request_id=1la9mb5k6ryhhedb, trace_id=nbrjxczqgywokbr6y3fht9j2, ua="PostmanRuntime/7.36.0")
2026-02-01 01:29:12 | WARN | api | Circuit breaker half-open dependency=redis (env=prod, region=ap-southeast-1, ip=161.8.124.214, request_id=o9inekyd13g4dnqf, trace_id=grmr9m74zge165woijibcyyz, ua="curl/8.4.0")
2026-02-01 01:30:17 | WARN | api | Elevated error rate observed window_s=30 rate=4.6% (env=prod, region=ap-southeast-1, ip=121.151.94.163, request_id=s5tm53w2sikb3g2h, trace_id=6mav73roiq6djk2bbz6riwv9, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:30:46 | WARN | api | High memory usage warning mem=67% (env=prod, region=us-east-1, ip=252.12.113.133, request_id=xu0079l3ca2n61yk, trace_id=czz6a4yow04373pv2x2tr537, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:39:11 | WARN | api | High memory usage warning mem=65% (env=staging, region=me-south-1, ip=126.223.146.111, request_id=j67wjqami276oktv, trace_id=bvltvp4pvpjmn6s3b9ao3g9a, ua="curl/8.4.0")
2026-02-01 01:43:20 | WARN | api | Retrying request to upstream service attempt=5 (env=prod, region=eu-west-1, ip=220.61.87.188, request_id=29f1so3ywutqrb7o, trace_id=ft56lqgwdsd30lhtgayz1rp2, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 01:49:34 | WARN | api | Retrying request to upstream service attempt=1 (env=prod, region=us-east-1, ip=246.112.29.81, request_id=wdj6w8st6qzgetb0, trace_id=xn27bm0jamwd9m1k054q3do6, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 01:58:15 | WARN | api | Retrying request to upstream service attempt=1 (env=prod, region=us-east-1, ip=28.220.69.63, request_id=ruiorvgzdoix7l2q, trace_id=o1l2nrxc2d5bijuqicdnjtp5, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 01:59:11 | WARN | api | Payment provider latency high (3048ms) (env=prod, region=eu-west-1, ip=71.60.70.97, request_id=p02lwd5pc7gawn12, trace_id=ztgzrsicy2h6mnjp42cm30zd, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 02:01:18 | WARN | api | Rate limit nearing threshold remaining=3 (env=prod, region=eu-west-1, ip=106.248.52.133, request_id=24vy51p5ad52fq0t, trace_id=yyyla5utwvaca2uki8ttdjpx, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:01:30 | WARN | api | Queue backlog growing size=6204 (env=prod, region=us-east-1, ip=165.202.177.132, request_id=74t7poy63d3q6tte, trace_id=dcl51neonxme7bl2jedel657, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 02:02:44 | WARN | api | Elevated error rate observed window_s=60 rate=3.7% (env=prod, region=me-south-1, ip=26.52.101.167, request_id=n5pszfrx12fbx8py, trace_id=svdn1ir7cwwd20991jfk0b02, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:04:49 | WARN | api | Elevated error rate observed window_s=300 rate=7.5% (env=prod, region=eu-west-1, ip=79.161.207.187, request_id=g6u19t5p5v8axyzf, trace_id=8wed1idrook87fr2q1kmfxx0, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:07:35 | WARN | api | Temporary network jitter detected rtt_ms=600 (env=prod, region=me-south-1, ip=240.67.69.110, request_id=lyqzqrd3q16o06ly, trace_id=iq3agrmiv316gysw0121sgwf, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 02:08:51 | WARN | api | Slow response detected (3146ms) endpoint=/inventory/SKU39516 (env=dev, region=us-east-1, ip=30.252.201.144, request_id=vwy1rkttdwqwyjo8, trace_id=im5pjxtk9ipqqt290rya0t3r, ua="PostmanRuntime/7.36.0")
2026-02-01 02:13:10 | WARN | api | Rate limit nearing threshold remaining=34 (env=dev, region=eu-west-1, ip=162.21.249.175, request_id=vk4i0nuyqg9qz06q, trace_id=6mw268jrt3mj81hnz6blbb9i, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:15:10 | WARN | api | Disk usage above 80% disk=94% (env=prod, region=eu-west-1, ip=232.139.142.63, request_id=4lhg3kryk68bpkg6, trace_id=rbl0sjo4mlxfuyn94yz1fjlr, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:15:27 | WARN | api | Payment provider latency high (2312ms) (env=prod, region=me-south-1, ip=143.53.237.166, request_id=62tlb9tpdumn3hxy, trace_id=10ktqyma0yw99azlic31fbsp, ua="curl/8.4.0")
2026-02-01 02:16:11 | WARN | api | Circuit breaker half-open dependency=stripe (env=prod, region=us-east-1, ip=54.114.106.74, request_id=gturzs73fd0k9gy1, trace_id=wy89intqtjrqszqqtyaz0hlz, ua="curl/8.4.0")
2026-02-01 02:17:25 | WARN | api | Temporary network jitter detected rtt_ms=806 (env=staging, region=us-east-1, ip=94.242.127.106, request_id=gbf79vkksr80cyl0, trace_id=hhbk2t89vzuruy6klh8yo2qc, ua="PostmanRuntime/7.36.0")
2026-02-01 02:18:13 | WARN | api | Slow response detected (1492ms) endpoint=/health (env=prod, region=me-south-1, ip=236.45.99.40, request_id=ptfy2a3ujc693ldk, trace_id=trdrmska5n4zuxlwuw1pngaa, ua="curl/8.4.0")
2026-02-01 02:22:48 | WARN | api | Disk usage above 80% disk=95% (env=staging, region=eu-west-1, ip=156.177.226.245, request_id=sq27ywwz4yph66rq, trace_id=r1q3w5jsl2hqkzd703hh4mja, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:24:02 | WARN | api | Payment provider latency high (776ms) (env=dev, region=me-south-1, ip=222.168.208.37, request_id=pd2duwcueaa7ycp8, trace_id=j4sb5iy930e14ut6vyjwbhqy, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:25:53 | WARN | api | Elevated error rate observed window_s=30 rate=14.3% (env=staging, region=me-south-1, ip=234.65.129.185, request_id=d652dj0tnlnu2a0n, trace_id=4499kei13ztpal5i7rv4hla0, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:26:55 | WARN | api | High memory usage warning mem=93% (env=prod, region=ap-southeast-1, ip=27.188.167.175, request_id=5wo0s19856r8phn1, trace_id=bqggop1buya89ok8hsrgpi68, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 02:28:16 | WARN | api | Slow response detected (1801ms) endpoint=/files/upload (env=prod, region=ap-southeast-1, ip=44.121.230.13, request_id=6ureuq14rnqlwusc, trace_id=kx58r6tvs45kcbp7x0u54f2k, ua="curl/8.4.0")
2026-02-01 02:29:37 | WARN | api | Slow response detected (1016ms) endpoint=/users/1449 (env=prod, region=ap-southeast-1, ip=171.13.53.34, request_id=cj2xldqurwsce0x9, trace_id=6erdefle6s1eur3xmx4cbdm3, ua="curl/8.4.0")
2026-02-01 02:30:59 | WARN | api | Payment provider latency high (3485ms) (env=staging, region=us-east-1, ip=246.131.25.28, request_id=45hiyncfsx2iuep4, trace_id=eo6uou3p8dgbcrim0w876enc, ua="curl/8.4.0")
2026-02-01 02:33:04 | WARN | api | Queue backlog growing size=5501 (env=prod, region=ap-southeast-1, ip=83.71.219.71, request_id=izbwi8t9qk6q6shp, trace_id=4hcaovzsy7cni5aijz23vaj0, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 02:41:54 | WARN | api | High memory usage warning mem=86% (env=staging, region=eu-west-1, ip=211.189.229.197, request_id=xdc3z9wrrn6nyx14, trace_id=cvjb5pqkelhq64rmq5781w42, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:43:01 | WARN | api | Slow response detected (2599ms) endpoint=/orders/5930 (env=prod, region=me-south-1, ip=134.5.172.246, request_id=8crlvghfxjrkie53, trace_id=r5d4ex3e2foi8tqnwa54abkl, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 02:44:32 | WARN | api | Circuit breaker half-open dependency=email-smtp (env=prod, region=me-south-1, ip=68.222.78.239, request_id=gbjy4emm2mpcoyz2, trace_id=o5jni7doo3r6vvhkd2do35of, ua="PostmanRuntime/7.36.0")
2026-02-01 02:45:35 | WARN | api | Circuit breaker half-open dependency=postgres (env=prod, region=ap-southeast-1, ip=19.188.143.179, request_id=y3nt2zc09cm6qd6a, trace_id=h9j5scz3ute7ghl7s8ieqmqi, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:45:46 | WARN | api | Rate limit nearing threshold remaining=14 (env=staging, region=me-south-1, ip=94.145.216.27, request_id=mdjz7v6ngu2d1f3a, trace_id=lgquva9i074eenhvqwrqgv40, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 02:46:52 | WARN | api | Circuit breaker half-open dependency=payments-api (env=dev, region=me-south-1, ip=155.166.207.37, request_id=koazek29m9hxr40z, trace_id=cqt70go5hjm2t8ggx8pgimdn, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 02:47:38 | WARN | api | Payment provider latency high (2145ms) (env=dev, region=me-south-1, ip=125.239.164.109, request_id=nlh79awv1tg9mamk, trace_id=nip14nlz9dxb3zmftrclepnf, ua="PostmanRuntime/7.36.0")
2026-02-01 02:48:28 | WARN | api | Disk usage above 80% disk=85% (env=prod, region=eu-west-1, ip=46.207.158.95, request_id=6pai30v6qu19b2pm, trace_id=spdss4hztlb6e5b3gvhxzt7v, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 02:48:31 | WARN | api | Circuit breaker half-open dependency=redis (env=prod, region=us-east-1, ip=190.137.119.21, request_id=ar84mfs9do78yjm2, trace_id=x0d041jmaau7grba3pnaso0y, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 02:49:10 | WARN | api | Queue backlog growing size=9724 (env=prod, region=eu-west-1, ip=47.204.156.72, request_id=06wcjhbeq63b3gwl, trace_id=1w0skqhcr4ldl1976fczs50k, ua="PostmanRuntime/7.36.0")
2026-02-01 02:49:11 | WARN | api | Rate limit nearing threshold remaining=32 (env=prod, region=ap-southeast-1, ip=246.139.3.148, request_id=904i4emt4zzedh5q, trace_id=wenxt4dtmouhvw5x4jlmb8nj, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:52:52 | WARN | api | Queue backlog growing size=6352 (env=prod, region=ap-southeast-1, ip=251.123.68.127, request_id=x0uu4nstppp8lcsi, trace_id=rtwmoatok6q7wqk8qlh5i30k, ua="curl/8.4.0")
2026-02-01 02:54:06 | WARN | api | High memory usage warning mem=65% (env=prod, region=me-south-1, ip=139.77.64.78, request_id=phtucz29unlstjmu, trace_id=5q6vx6aowt6gzo0dop4rrdnb, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 02:55:22 | WARN | api | Payment provider latency high (310ms) (env=prod, region=us-east-1, ip=27.231.149.104, request_id=obg4149mmo9i7pzv, trace_id=at2bght231bjjxbyn6jw1rpl, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 02:58:48 | WARN | api | Rate limit nearing threshold remaining=1 (env=prod, region=me-south-1, ip=34.83.111.190, request_id=w2msdl0v320xdrc9, trace_id=9vx5xoq5edzfwskdpvoneo3c, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 03:05:40 | WARN | api | High memory usage warning mem=99% (env=prod, region=eu-west-1, ip=58.117.149.186, request_id=ifb6jj04ypocws9h, trace_id=yd1kzhla43dow718rdwic9nx, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 03:05:50 | WARN | api | Payment provider latency high (825ms) (env=staging, region=us-east-1, ip=64.204.124.135, request_id=89frx07mkj9ke57r, trace_id=twnweybaqnoxwk8k5huteotn, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 03:06:32 | WARN | api | Payment provider latency high (2930ms) (env=staging, region=us-east-1, ip=68.11.253.84, request_id=h5e3tksrk2hkkw5s, trace_id=pwbb64ctds241v13hd0rm8tc, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 03:06:46 | WARN | api | Slow response detected (1972ms) endpoint=/login (env=prod, region=us-east-1, ip=177.139.190.6, request_id=b933efcgyvswrpqp, trace_id=lfyrqssq62aajkn5bys9fdmo, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 03:07:20 | WARN | api | Payment provider latency high (2500ms) (env=prod, region=eu-west-1, ip=124.250.90.30, request_id=wdneerh8zjxwojh4, trace_id=sdtha7j8y1dl23s74l31tvdq, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 03:08:19 | WARN | api | Disk usage above 80% disk=94% (env=staging, region=ap-southeast-1, ip=186.200.3.98, request_id=kwysx231dy73znhn, trace_id=f6q2z0fij9pv8o83mjr66nzg, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
